nome,capital,latitude,longitude,tipo,distancia_aerea_km,distancia_rodoviaria_km,tempo_viagem_min
Olinda,0,-8.01017,-34.8545,Cidade,4.759762644813854,5.79,8.346833333333333
Camaragibe,0,-8.02351,-34.9782,Cidade,11.425205530204478,15.11,24.266333333333332
Paulista,0,-7.93401,-34.8684,Cidade,12.56268940279782,16.01,23.10533333333333
São Lourenço da Mata,0,-8.00684,-35.0124,Cidade,15.541371020264972,30.26,35.705000000000005
Abreu e Lima,0,-7.90072,-34.8984,Cidade,16.39642363466244,19.05,28.30933333333333
Jaboatão dos Guararapes,0,-8.11298,-35.015,Cidade,16.877866388011473,21.93,27.422166666666666
Moreno,0,-8.10871,-35.0835,Cidade,23.747346399199138,31.2,38.52166666666667
Igarassu,0,-7.82881,-34.9013,Cidade,24.36998433531608,27.17,38.470666666666666
Cabo de Santo Agostinho,0,-8.28218,-35.0253,Cidade,30.85332067935977,35.41,38.39866666666667
Itapissuma,0,-7.76798,-34.8971,Cidade,31.06599419435939,36.86,53.32333333333334
João Pessoa,1,-7.11509,-34.8641,Capital,103.59576773494516,115.88,127.85133333333333
Maceió,1,-9.66599,-35.735,Capital,203.23820802611294,258.44,247.39116666666666
Natal,1,-5.79357,-35.1986,Capital,253.03290890498323,284.48,293.91650000000004
Aracaju,1,-10.9091,-37.0677,Capital,398.77150375969967,498.64,483.69533333333334
Fortaleza,1,-3.71664,-38.5423,Capital,629.3585846649692,778.68,736.634
